extremely,極端地
saying,格言
company,公司
circle,圓
journey,旅行
culture,文化
allow,允許
allowance,零用錢
indeed,的確
cycling,騎腳踏車
transoprtation,交通運輸
effort,努力
promote,促銷
popularity,受歡迎
leisure,休閒
activity,活動
result,結果
seek,尋找
producer,供應者
official,官員
satisfy,滿意
protect,保護
environment,環境
deserve,應得
tradition,傳統
sleigh,雪橇
deliver,運送
goods,商品
employee,員工
character,角色
add,增加
accept,接受
joke,玩笑
appearance,外表
stormy,暴風雪
shiny,閃亮
stocking,長襪
message,訊息
tolerance,包容
meaning,意義
following,下述的
glow,發光
foggy,霧
organization,組織
devoted,投入
prevent,防預
cure,治療
mission,任務
loss,失去
tragic,悲劇
blow,吹
individual,個人的
impact,影響
hopeles,絕望
remote,偏遠
area,區域
solve,解決
provide,提供
advanced,進步
equipment,裝備
operate,手術
patient,耐心
skill,技能
aircraft,飛機
benefit,好處
permanent,常設的
volunteer,志工
relative,親戚
relate,有關的
idiom,慣用語
phrase,片語
contain,包含
obvious,明顯的
expression,表達
theme,主題
situation,狀況
suspicious,懷疑
customer,顧客
sticky,黏
slip,輕放
gum,口香糖
context,上下文
spot,發現
colorful,多彩的
able,能夠…的；有能力的
according,相符的；依據
across,到對面；橫過
act,行為；動作
action,行動；行為
actor,參加者；演員
actress,女演員
address,致詞；住址
adult,成人；成年人
afraid,害怕的；畏懼的
age,變老；使酒的味道變醇
agree,意見一致；贊成
agreement,協定；同意
alone,獨自地；單獨地
anger,忿怒；發怒
anger,使生氣；使發怒
angry,生氣的；惱怒的
appear,出現；似乎
arm,手臂
army,軍隊
art,藝術；技巧
band,樂隊；條狀物
base,根基；底部
basic,基本的；基礎的
bathe,洗澡；使沈浸其中
beach,海濱；海灘
beat,節奏
beauty,美的事物；美麗
beginning,開始；起初
belong,屬於；適合
believe,相信；認為
below,在…下方；在…以下
birth,出生
bite,咬住；咬上
block,一塊；片
blood,血液
bone,骨；骨頭
bottom,底部；基部
brave,勇敢的；英勇的
bread,麵包；生計
break,破裂；違反
bridge,橋；橋梁
bright,光亮的；聰明的
build,建造；創立
building,建築物；樓房
cage,鳥籠
call,打電話；稱呼
camera,照相機
camp,露營
care,謹慎；照顧
careless,粗心的；不小心的
careful,小心的；慎重的
carefully,小心地；注意地
carry,運送；攜帶
case,例子；案子
cause,造成
center,中心；焦點
certain,確信；有把握的
chair,椅子；席位
chance,機會；時機
chart,航海圖；圖表
chase,追捕；驅逐
check,停止；檢查
chief,主要的
chiefly,第一；主要
church,教堂；聖堂
cinema,電影院
clean,清潔的；未污染的
clear,晴朗的；清楚的
climb,登上；攀爬
closely,接近地；緊密地
coast,海岸；沿岸
common,常見的；普通的
commonly,一般地；普通地
continue,繼續，持續
cool,使冷卻；使情緒平靜下來
correct,正確的；適當的
cost,成本；價格
count,數；重要
county,郡；縣
country,國家；國土
course,課程；路線
cover,遮；蓋
cut,切；割
danger,危險；可成為危險的原因
dark,暗的；深的
darkness,黑暗
date,日期；年代
daughter,女兒
dead,已故的；死亡的
deal,交易；數量
death,死亡
decide,決心；決定
deep,深的；深長的
deeper,更深的
deeply,深深地
die,死亡；喪生
different,不同的；各種的
differently,不同地
difficult,困難的；艱難的
dig,挖掘
direct,引領；指揮
directly,直接地；立刻
discover,發現；找到
downstairs,向〈在〉樓下
dozen,打；十二(個)
dream,作夢
eagle,鷹；鷲
earth,地球；土壤
ease,舒適；輕鬆
edge,邊緣
end,末端；結束
enter,進入
equal,平等的；相等的
equally,相同地；同樣地
even,使相等；使穩定下來
cat,貓
dog,狗
Ray,智障
